GameAndDrive,FirstDowns,yards_gained,yards_per_first_down,touchdown
20140904001,3,23,7.666666666666667,0.0
20140904002,4,25,6.25,0.0
20140904003,2,6,3.0,0.0
20140904004,3,22,7.333333333333333,1.0
20140904005,4,41,10.25,0.0
20140904006,4,6,1.5,0.0
20140904007,4,42,10.5,0.0
20140904008,3,24,8.0,0.0
20140904009,3,11,3.6666666666666665,0.0
20140907001,3,12,4.0,0.0
20140907002,1,1,1.0,0.0
20140907003,3,2,0.6666666666666666,0.0
20140907004,5,47,9.4,0.0
20140907005,5,47,9.4,0.0
20140907006,6,15,2.5,0.0
20140907007,8,62,7.75,0.0
20140907008,3,58,19.333333333333332,0.0
20140907009,5,17,3.4,1.0
20140907011,4,22,5.5,0.0
20140907012,2,3,1.5,0.0
20140907013,2,5,2.5,0.0
20140907014,1,3,3.0,0.0
20140907015,2,9,4.5,0.0
20140907016,1,4,4.0,0.0
20140907017,5,31,6.2,0.0
20140907018,3,2,0.6666666666666666,0.0
20140907019,3,9,3.0,0.0
20140907021,1,2,2.0,0.0
20140907022,3,58,19.333333333333332,0.0
20140907023,4,27,6.75,1.0
20140907024,3,15,5.0,0.0
20140907025,2,-5,-2.5,0.0
20140907026,5,44,8.8,0.0
20140907027,2,11,5.5,0.0
20140907028,3,3,1.0,0.0
20140907029,1,7,7.0,0.0
20140907031,2,7,3.5,0.0
20140907032,1,9,9.0,0.0
20140907033,1,3,3.0,0.0
20140907034,1,5,5.0,0.0
20140907035,1,0,0.0,0.0
20140907036,1,6,6.0,0.0
20140907037,1,4,4.0,0.0
20140907038,4,8,2.0,0.0
20140907039,2,6,3.0,0.0
20140907041,2,6,3.0,0.0
20140907042,3,10,3.3333333333333335,0.0
20140907043,1,0,0.0,0.0
20140907044,3,15,5.0,0.0
20140907045,4,46,11.5,0.0
20140907046,1,0,0.0,0.0
20140907047,2,4,2.0,0.0
20140907048,6,14,2.3333333333333335,1.0
20140907049,2,5,2.5,0.0
20140907051,1,2,2.0,0.0
20140907052,2,12,6.0,0.0
20140907053,7,44,6.285714285714286,1.0
20140907054,2,6,3.0,0.0
20140907055,2,0,0.0,0.0
20140907056,3,8,2.6666666666666665,0.0
20140907057,5,18,3.6,1.0
20140907058,3,24,8.0,0.0
20140907059,1,0,0.0,0.0
20140907061,5,29,5.8,0.0
20140907062,1,0,0.0,0.0
20140907063,2,4,2.0,0.0
20140907064,2,12,6.0,1.0
20140907065,5,9,1.8,0.0
20140907066,4,21,5.25,0.0
20140907067,1,1,1.0,0.0
20140907068,1,3,3.0,0.0
20140907069,6,49,8.166666666666666,1.0
20140907071,1,7,7.0,0.0
20140907072,2,4,2.0,0.0
20140907073,2,-1,-0.5,1.0
20140907074,2,4,2.0,0.0
20140907075,1,0,0.0,1.0
20140907076,2,12,6.0,0.0
20140907077,2,3,1.5,0.0
20140907078,2,12,6.0,0.0
20140907079,3,53,17.666666666666668,0.0
20140907081,4,17,4.25,0.0
20140907082,3,50,16.666666666666668,0.0
20140907083,3,4,1.3333333333333333,1.0
20140907084,1,-1,-1.0,0.0
20140907085,1,0,0.0,0.0
20140907086,1,3,3.0,0.0
20140907087,4,80,20.0,0.0
20140907088,1,0,0.0,0.0
20140907089,2,50,25.0,0.0
20140907091,4,10,2.5,0.0
20140907092,2,23,11.5,0.0
20140907093,3,19,6.333333333333333,0.0
20140907094,3,23,7.666666666666667,0.0
20140907095,2,23,11.5,0.0
20140907096,2,7,3.5,0.0
20140907097,2,4,2.0,0.0
20140907098,4,33,8.25,0.0
20140907099,4,15,3.75,0.0
20140907101,3,20,6.666666666666667,0.0
20140907102,7,37,5.285714285714286,0.0
20140907103,3,73,24.333333333333332,0.0
20140907104,2,7,3.5,0.0
20140907105,1,2,2.0,0.0
20140907106,6,36,6.0,0.0
20140907107,4,24,6.0,0.0
20140907108,3,5,1.6666666666666667,0.0
20140907109,5,24,4.8,0.0
20140907111,1,3,3.0,0.0
20140907112,2,5,2.5,0.0
20140907113,4,11,2.75,0.0
20140907114,2,56,28.0,0.0
20140907115,5,13,2.6,1.0
20140907116,1,-3,-3.0,0.0
20140907117,3,29,9.666666666666666,0.0
20140907118,1,0,0.0,0.0
20140907119,4,3,0.75,0.0
20140907121,3,27,9.0,0.0
20140907122,7,9,1.2857142857142858,0.0
20140907123,2,10,5.0,0.0
20140907124,3,2,0.6666666666666666,1.0
20140907125,1,-8,-8.0,0.0
20140907126,5,56,11.2,0.0
20140907127,1,2,2.0,0.0
20140907128,4,53,13.25,1.0
20140907129,6,33,5.5,0.0
20140908001,2,12,6.0,1.0
20140908002,1,-2,-2.0,0.0
20140908003,7,20,2.857142857142857,1.0
20140908004,2,1,0.5,0.0
20140908005,1,0,0.0,0.0
20140908006,7,32,4.571428571428571,1.0
20140908007,1,1,1.0,0.0
20140908008,2,8,4.0,0.0
20140908009,3,11,3.6666666666666665,0.0
20140908011,2,0,0.0,0.0
20140908012,2,2,1.0,0.0
20140908013,3,68,22.666666666666668,0.0
20140908014,2,9,4.5,0.0
20140908015,3,20,6.666666666666667,0.0
20140908016,1,5,5.0,0.0
20140908017,3,32,10.666666666666666,0.0
20140908018,2,8,4.0,0.0
20140908019,1,2,2.0,0.0
20140911001,5,14,2.8,0.0
20140911002,5,27,5.4,1.0
20140911003,1,1,1.0,0.0
20140911004,5,35,7.0,0.0
20140911005,5,48,9.6,0.0
20140911006,1,-1,-1.0,0.0
20140911007,3,8,2.6666666666666665,0.0
20140911008,1,-1,-1.0,0.0
20140911009,2,0,0.0,0.0
20140914001,3,14,4.666666666666667,0.0
20140914002,2,18,9.0,0.0
20140914003,3,10,3.3333333333333335,0.0
20140914004,2,7,3.5,0.0
20140914005,2,2,1.0,0.0
20140914006,2,13,6.5,0.0
20140914007,2,3,1.5,0.0
20140914008,3,0,0.0,0.0
20140914009,2,16,8.0,0.0
20140914011,5,25,5.0,0.0
20140914012,2,17,8.5,0.0
20140914013,6,5,0.8333333333333334,0.0
20140914014,1,-1,-1.0,0.0
20140914015,1,0,0.0,0.0
20140914016,6,68,11.333333333333334,0.0
20140914017,4,45,11.25,0.0
20140914018,4,41,10.25,0.0
20140914019,2,0,0.0,0.0
20140914021,2,3,1.5,0.0
20140914022,6,46,7.666666666666667,0.0
20140914023,4,21,5.25,0.0
20140914024,2,51,25.5,0.0
20140914025,1,4,4.0,0.0
20140914026,3,10,3.3333333333333335,0.0
20140914027,2,13,6.5,0.0
20140914028,5,28,5.6,1.0
20140914029,2,7,3.5,0.0
20140914031,1,0,0.0,0.0
20140914032,2,5,2.5,0.0
20140914033,1,-7,-7.0,0.0
20140914034,4,7,1.75,0.0
20140914035,2,10,5.0,0.0
20140914036,4,13,3.25,0.0
20140914037,2,14,7.0,0.0
20140914038,2,4,2.0,0.0
20140914039,5,68,13.6,0.0
20140914041,4,63,15.75,0.0
20140914042,1,0,0.0,0.0
20140914043,2,4,2.0,0.0
20140914044,1,0,0.0,1.0
20140914045,1,-2,-2.0,0.0
20140914046,4,31,7.75,0.0
20140914047,3,10,3.3333333333333335,0.0
20140914048,3,11,3.6666666666666665,0.0
20140914049,2,3,1.5,0.0
20140914051,6,42,7.0,1.0
20140914052,4,20,5.0,0.0
20140914053,4,14,3.5,0.0
20140914054,5,25,5.0,0.0
20140914055,3,5,1.6666666666666667,0.0
20140914056,6,22,3.6666666666666665,1.0
20140914057,3,32,10.666666666666666,0.0
20140914058,1,2,2.0,0.0
20140914059,1,-8,-8.0,0.0
20140914061,3,11,3.6666666666666665,0.0
20140914062,1,3,3.0,0.0
20140914063,2,21,10.5,0.0
20140914064,1,5,5.0,0.0
20140914065,5,28,5.6,0.0
20140914066,1,7,7.0,0.0
20140914067,3,27,9.0,0.0
20140914068,2,12,6.0,0.0
20140914069,3,17,5.666666666666667,0.0
20140914071,2,13,6.5,0.0
20140914072,1,0,0.0,0.0
20140914073,4,18,4.5,1.0
20140914074,1,8,8.0,0.0
20140914075,2,3,1.5,0.0
20140914076,1,1,1.0,0.0
20140914077,5,62,12.4,1.0
20140914078,1,0,0.0,0.0
20140914079,5,56,11.2,1.0
20140914081,3,32,10.666666666666666,0.0
20140914082,5,26,5.2,0.0
20140914083,1,4,4.0,1.0
20140914084,7,76,10.857142857142858,1.0
20140914085,1,0,0.0,0.0
20140914086,4,-5,-1.25,0.0
20140914088,5,18,3.6,1.0
20140914089,5,66,13.2,0.0
20140914091,4,12,3.0,1.0
20140914092,6,51,8.5,0.0
20140914093,5,1,0.2,0.0
20140914094,2,10,5.0,0.0
20140914095,1,-1,-1.0,0.0
20140914096,1,-3,-3.0,0.0
20140914097,1,1,1.0,0.0
20140914098,2,9,4.5,0.0
20140914099,2,-3,-1.5,0.0
20140914101,4,56,14.0,1.0
20140914102,4,12,3.0,0.0
20140914103,1,1,1.0,0.0
20140914104,3,28,9.333333333333334,0.0
20140914105,2,-2,-1.0,0.0
20140914106,5,18,3.6,1.0
20140914107,6,69,11.5,0.0
20140914108,2,19,9.5,0.0
20140914109,5,26,5.2,0.0
20140914111,1,0,0.0,0.0
20140914112,2,2,1.0,1.0
20140914113,2,9,4.5,0.0
20140914114,2,10,5.0,1.0
20140914115,5,29,5.8,0.0
20140914116,6,7,1.1666666666666667,1.0
20140914117,5,4,0.8,0.0
20140914118,1,8,8.0,0.0
20140914119,2,13,6.5,0.0
20140914121,5,17,3.4,1.0
20140914122,1,-1,-1.0,0.0
20140914123,6,13,2.1666666666666665,0.0
20140914124,3,4,1.3333333333333333,0.0
20140914125,2,15,7.5,0.0
20140914126,3,15,5.0,0.0
20140914127,3,4,1.3333333333333333,0.0
20140914128,3,27,9.0,0.0
20140914129,1,1,1.0,0.0
20140914131,1,-1,-1.0,0.0
20140914132,1,0,0.0,1.0
20140914133,2,7,3.5,0.0
20140914134,5,14,2.8,0.0
20140914135,3,0,0.0,0.0
20140914136,1,7,7.0,0.0
20140914137,1,1,1.0,0.0
20140914138,1,0,0.0,0.0
20140914139,1,0,0.0,0.0
20140915001,1,0,0.0,0.0
20140915002,5,37,7.4,0.0
20140915003,4,35,8.75,1.0
20140915004,2,60,30.0,0.0
20140915005,5,28,5.6,0.0
20140915006,2,15,7.5,0.0
20140915007,1,0,0.0,0.0
20140915008,5,20,4.0,0.0
20140915009,5,29,5.8,1.0
20140918001,4,51,12.75,1.0
20140918002,1,1,1.0,0.0
20140918003,4,24,6.0,0.0
20140918004,3,14,4.666666666666667,1.0
20140918005,1,0,0.0,0.0
20140918006,1,0,0.0,0.0
20140918007,3,19,6.333333333333333,0.0
20140918008,1,3,3.0,0.0
20140918009,4,30,7.5,0.0
20140921001,1,3,3.0,0.0
20140921002,4,4,1.0,1.0
20140921003,4,14,3.5,0.0
20140921004,9,22,2.4444444444444446,0.0
20140921005,1,8,8.0,0.0
20140921006,2,3,1.5,0.0
20140921007,3,41,13.666666666666666,0.0
20140921008,3,58,19.333333333333332,0.0
20140921009,1,0,0.0,0.0
20140921011,3,7,2.3333333333333335,0.0
20140921012,5,36,7.2,0.0
20140921013,2,22,11.0,0.0
20140921014,4,68,17.0,0.0
20140921015,4,32,8.0,0.0
20140921016,2,6,3.0,0.0
20140921017,1,1,1.0,0.0
20140921018,2,5,2.5,0.0
20140921019,1,1,1.0,0.0
20140921021,5,31,6.2,0.0
20140921022,7,6,0.8571428571428571,1.0
20140921023,1,0,0.0,0.0
20140921024,4,11,2.75,0.0
20140921025,6,55,9.166666666666666,0.0
20140921026,2,4,2.0,0.0
20140921027,3,18,6.0,0.0
20140921028,1,6,6.0,0.0
20140921029,5,33,6.6,0.0
20140921031,2,8,4.0,0.0
20140921032,1,3,3.0,0.0
20140921033,1,4,4.0,0.0
20140921034,1,3,3.0,0.0
20140921035,2,6,3.0,0.0
20140921036,3,26,8.666666666666666,0.0
20140921037,4,25,6.25,1.0
20140921038,2,5,2.5,0.0
20140921039,1,-1,-1.0,0.0
20140921041,4,14,3.5,0.0
20140921042,1,2,2.0,0.0
20140921043,4,20,5.0,1.0
20140921044,1,7,7.0,0.0
20140921045,4,52,13.0,1.0
20140921046,1,0,0.0,0.0
20140921047,2,15,7.5,0.0
20140921048,2,5,2.5,0.0
20140921049,4,55,13.75,0.0
20140921051,2,5,2.5,0.0
20140921052,1,0,0.0,0.0
20140921053,6,27,4.5,0.0
20140921054,4,13,3.25,0.0
